Epoch,Train Loss (MSE),Train Loss (MAE),Train Loss (SSIM),Train Loss (PSNR),Validation Loss (MSE),Validation Loss (MAE),Validation Loss (SSIM),Validation Loss (PSNR)
1,0.007554393083893317,0.059806310925978025,0.1125184170617402,-23.652089868377054,0.0031924968827747352,0.03551350400823331,0.08068564179366819,-27.43532608837422
2,0.004446896820912095,0.04505967469977351,0.08724955683056115,-25.84417657498575,0.0027869790757433996,0.03327016937605325,0.07481768154130979,-27.993914267718402
3,0.0035141590558718117,0.03972282089768313,0.07855300135024891,-26.8941343833732,0.0023731168343297075,0.030550733036444896,0.06810210874597422,-28.81686978729022
4,0.002999746970664263,0.036648537671841445,0.07346001742580335,-27.560161673879676,0.002243866323623595,0.030546834181004796,0.0652374362144936,-28.864084033325568
5,0.002675363832537284,0.03463385925946134,0.07000107174351275,-28.036394274325772,0.0021556770662988127,0.030249897576218678,0.0635515653665961,-28.98163025128597
6,0.002448481528924178,0.033150124453178796,0.06721168519886396,-28.405118607278737,0.002003059956506894,0.028842816676829145,0.06183173112665468,-29.406001139664514
7,0.0022785051029756706,0.031993402758127766,0.06507913449468374,-28.7066853927812,0.0019181945568566546,0.02819527560545272,0.060802271103058324,-29.63473129937912
8,0.0021519023040176247,0.031108554957318756,0.06328092509293634,-28.94156080680689,0.0018913435466388323,0.028068535223219834,0.060261184192878736,-29.697270758121856
9,0.002041103238106077,0.030314740236247348,0.061734115095928944,-29.15702545120256,0.001867819121592819,0.028027077515784617,0.059997088099170655,-29.719381558650767
10,0.0019530651197765447,0.02968874372503311,0.06041311271318042,-29.3293080669973,0.0018244392281178648,0.027577875590628534,0.06016522261236518,-29.882167722998982
11,0.001877795795556117,0.029119330535225384,0.05928571760459451,-29.48795986217137,0.001756985131614101,0.026986164182206843,0.060089177379325336,-30.074655385605904
12,0.0018081784726391194,0.028610782293275794,0.05837141095356957,-29.629368600460538,0.0017510136443876076,0.027138914295983557,0.06051229422029012,-30.02428291793271
13,0.0017575015716108462,0.02820157105348915,0.05756047256900284,-29.74648757797291,0.0017587297365009075,0.02716954836903755,0.059974153074072376,-30.030869723925985
14,0.0017053371847480497,0.027792227000704963,0.056715249170263826,-29.86010324047592,0.001755391965685002,0.027419563726474507,0.059840432405991684,-29.919270797010807
15,0.0016724271876345192,0.0275446870891355,0.05624601122077185,-29.93434687981559,0.00185110403400845,0.028441140084168794,0.06161485298512755,-29.64746171441392
16,0.0016349732264992654,0.02722359059587722,0.055598839600707606,-30.024110947986465,0.0018580031450338274,0.028455275580826358,0.05937987217672309,-29.606346513837174
17,0.001593060227465306,0.026880777610776663,0.05492924478477844,-30.12520254295291,0.0017550400038231716,0.02739710264627623,0.05981487147526298,-29.980700771932355
18,0.0015620125826536306,0.026617604139034464,0.05437456646298374,-30.201594115187582,0.0018360749084886888,0.028471861952957214,0.060728680266077945,-29.622006460822828
19,0.0015319279426210656,0.026378867558671838,0.053988512872739605,-30.27114673310824,0.0017751174398942216,0.027985995006656158,0.057946639813765445,-29.76589213611255
20,0.0014931249391133192,0.02605809829611181,0.053310603052865196,-30.362246448263086,0.0017117735818296515,0.027289010607911623,0.05977094529551603,-29.99791923403168
21,0.0014780966763915555,0.025933642282618886,0.05312361104277774,-30.399258365235905,0.0016797315952005788,0.02662295208187068,0.05540078025793749,-30.18373673377056
22,0.0014377238146525036,0.02556672001413944,0.05238017208443603,-30.515155596717495,0.001716907800072593,0.027432905076290134,0.05921326822658527,-29.987519135705988
23,0.0014170498159202932,0.025414291686188497,0.05211895226522256,-30.552475271568174,0.00166613057315298,0.026792611086044932,0.05875424453903378,-30.15416599994032
24,0.0013817369615104463,0.025081501761705267,0.05157886861844827,-30.65980426492972,0.0016246718051604726,0.026444902204909648,0.058909172711287115,-30.293143478273773
25,0.001360827579880994,0.024934262081862894,0.051206436594023956,-30.70119248164519,0.0016942601081442227,0.027004366298277228,0.057914062951050935,-30.074679989820996
26,0.0013440563744127002,0.024781483414124863,0.05088158133505735,-30.750522181303968,0.001634302225418903,0.026356522854932573,0.058451686293289645,-30.31949456602114
27,0.0013199944612629774,0.024571357774187688,0.05048343080340711,-30.819382788180786,0.0017098141813070326,0.02752058457614057,0.05807728284943119,-29.913186792406098
28,0.0013031718710618577,0.02439468498265568,0.05024991958455925,-30.872996019719082,0.0017326957376298526,0.027769035248291375,0.059197337436093754,-29.802168634433805
29,0.001277826293475084,0.02419053046276535,0.049869864425066385,-30.93618793445949,0.0016016543854046872,0.02620002859573839,0.060053344122249906,-30.389478232628697
30,0.0012586427106539289,0.024039678752215146,0.04958519884258216,-30.98225728724489,0.0016314752983495738,0.02676294247160442,0.05841191772597355,-30.17889511767195
31,0.0012422428570131466,0.02392760246084148,0.049339100338250494,-31.01525900933319,0.0015792242842094832,0.026123360297742156,0.05849841459318378,-30.391586675531627
32,0.0012283038030261215,0.023777797525888766,0.04910635116836107,-31.0664915232518,0.001641301481963334,0.026498438796939104,0.0581753599399362,-30.22273097597664
33,0.001215152865731944,0.02365564095270754,0.04892788038648982,-31.105448459096927,0.0016063783949051569,0.02635173217181849,0.058517265881298415,-30.37869637676893
34,0.0012176217726813786,0.023591650480906213,0.04884926478501365,-31.129563177268924,0.0016434945304991983,0.026969685332140468,0.05894751744763174,-30.016083780979933
35,0.0011752639727829093,0.02330141974361197,0.04828471064957564,-31.222718423949463,0.0016813485712361084,0.027141562599251743,0.0581757572349169,-30.091909142388978
36,0.0011612624314484403,0.023205801783151916,0.04807391368185811,-31.249177313734947,0.001701007297288848,0.027293996345227427,0.058196100224795634,-29.953389791229952
37,0.0011366599868442087,0.02295213120409583,0.04768418815949751,-31.33279621265707,0.0016160183988785314,0.026513817671376106,0.05828274731234697,-30.262339777890325
38,0.0011295932437989692,0.022923495014977105,0.04757724594133891,-31.338272858914006,0.001548882442031716,0.025887380378475967,0.05990522348667616,-30.462696907253076
39,0.0011137315898912404,0.022777618219996746,0.047288140774813185,-31.388077609021636,0.0014877238411423245,0.025181763807073643,0.05837436695573011,-30.746654992118135
40,0.0011067307430803557,0.02269062795833712,0.047201351673548456,-31.42078967848417,0.0016511913334999139,0.027250239639788724,0.05988472876879413,-30.04580039412394
41,0.001087947929502214,0.022520687538955763,0.046883506967301196,-31.477060198809873,0.0017006362921421648,0.027458750460470704,0.0598649738711454,-29.93994552040017
42,0.0010786555632695605,0.022456271227981363,0.04676164467956143,-31.498223240892916,0.0016250329419762964,0.026851232369124525,0.05934114238865449,-30.120933172539544
43,0.0010666489062158974,0.022335507080056414,0.046518186381494984,-31.537246361319607,0.0016205845837261182,0.026989767767368732,0.05914928449900245,-30.108356323608184
44,0.0010557385575510724,0.022224812466151517,0.04637200841466889,-31.57862432057621,0.001500687349838076,0.025209153811473723,0.05936681655001235,-30.66206806131289
45,0.001039417009145154,0.022063077669367274,0.04612892328587847,-31.630696430643095,0.0016130936327274617,0.026950185863009537,0.06060770714173814,-30.08920587289297
46,0.0010361940744941706,0.022008591244909243,0.04600894360791896,-31.656770827648035,0.0017793911229575365,0.028586258861568105,0.057531550754067996,-29.582164403397186
47,0.0010164891332237486,0.021829179441708677,0.04571441601120919,-31.7126856811174,0.0017386974776979062,0.02820665892164844,0.05793478880914288,-29.694828663130178
48,0.0010091940104404581,0.021772223371593943,0.045608862217276024,-31.731220084994284,0.0015556151916275376,0.026182691889948657,0.06071653207004512,-30.378134128156315
49,0.0010017940519163548,0.021695595673278317,0.0454558339542755,-31.759929536135143,0.00164797727196137,0.02741279275466457,0.06293010961214009,-29.948411298536392
50,0.0009866786458341769,0.021534223042249744,0.04523252305963697,-31.811641506748344,0.0017059656905215046,0.028183391662960328,0.0613718933015217,-29.743557769868552
51,0.0009846084316297548,0.02152262418769552,0.04519191407065355,-31.821474667281855,0.0017367695519588749,0.028136506273764166,0.059276114085123004,-29.731755612253156
52,0.0009648569554973834,0.021325507274582056,0.044889855872323754,-31.887277592541476,0.0017177678833241834,0.02810671881842031,0.0600870516016345,-29.730397077611165
53,0.000960962053294349,0.021274820764141812,0.04477494908913141,-31.907921761748835,0.0015226285634804039,0.02593441503191496,0.06083328363628196,-30.456480910462997
54,0.0009478319999805678,0.02114818037712018,0.0445755745618398,-31.953529175079247,0.0016687317162087472,0.02781041345782042,0.06243246019120514,-29.901484869163834
55,0.0009431541741443133,0.021113442888964808,0.04452359383862827,-31.96306423698933,0.0016365800947649506,0.027432505598610997,0.06323963749424319,-29.951083297662947
56,0.000931656882797181,0.020992961830805863,0.044324074823697754,-32.00464083943008,0.0018571246450610956,0.02959522555228461,0.06274993839193212,-29.303242779485117
57,0.0009198347812097884,0.0208703471034879,0.0441445840549053,-32.047509034925355,0.001657482426909253,0.02762920779614302,0.060084167365886426,-29.940932150340423
58,0.000915994841765131,0.020839904105918423,0.04403053117812395,-32.06126640843981,0.001773060247302766,0.028727740337735067,0.05955179029814915,-29.56528682434242
59,0.000905376954077547,0.020711680393942278,0.0438792604136493,-32.11283125154585,0.0017459553343922589,0.028651124090638632,0.05886508354805881,-29.600556901381935
60,0.0008994332660222426,0.020644148055468093,0.043731955022042295,-32.13821721487763,0.0015770561515732972,0.026724905455935824,0.059600697273881585,-30.191113756049216
61,0.0008868543150122028,0.020508552060717455,0.04357254721606181,-32.18198539896126,0.0015396655889302517,0.026288790226216614,0.06312383149213995,-30.38201468925626
62,0.0008898784171399125,0.020558894980666324,0.04357738443523353,-32.16544172459626,0.0016465352416653641,0.027498685141535525,0.06074282842799144,-29.929290739043644
63,0.0008767805891439665,0.020421997423922582,0.04334281503569209,-32.21313840040334,0.0016457105025471782,0.02750021707700347,0.061913082394805787,-29.992821495864675
64,0.0008688723001416596,0.020332281512483515,0.043254536247305415,-32.24853942812854,0.0017587428526567824,0.028950069312492003,0.06216589067370103,-29.477917101827188
65,0.0008658473112199185,0.020302097445847458,0.04314835530460986,-32.258838897962995,0.0015869170891968278,0.026926935513532688,0.0638090391581203,-30.18880162777674
66,0.0008632868691103156,0.02027882729335043,0.04315418487936746,-32.26918551466847,0.001765613246273909,0.028875715291388316,0.06141925856269607,-29.510955502775836
67,0.0008479438013517254,0.02009736140875091,0.04285801629593744,-32.33946680341448,0.0017348391766876397,0.028475417872111816,0.0624162296098858,-29.651865511235847
68,0.0008455687282858198,0.02010192000962217,0.04281322388638587,-32.33270898296893,0.00186106994838689,0.029783473861461844,0.06023797149799612,-29.253847124687823
69,0.0008349966096184359,0.019976382128459643,0.04266836237621412,-32.382717491782216,0.0017729741369250827,0.02893602369110292,0.061295845806988575,-29.507035894680897
70,0.0008326024326855482,0.019939745395599725,0.04256904815509509,-32.39815867890968,0.001804335890361179,0.029295516883929226,0.06013518210534596,-29.411194668656293
71,0.0008256255319636419,0.019873708422065203,0.04246229281732274,-32.425310714372245,0.0017085604087766007,0.02844250118185275,0.061016188975873596,-29.654641644277792
72,0.0008167369798456258,0.019772914547936313,0.042323860808833214,-32.46100638523747,0.0016465122767123387,0.02763798902590255,0.06200825993899326,-29.911765295295698
73,0.0008134597241043163,0.01974634397145251,0.04224368798563759,-32.471757560363905,0.001858576412105139,0.029937427014931288,0.05852421781562376,-29.221173393326037
74,0.0008083270378962424,0.01967641595688079,0.04221275186850695,-32.49962578402221,0.001821320738278474,0.029536150769536484,0.057692417087796155,-29.36474578597896
75,0.0008001375925728332,0.019577407735352166,0.04200878175160357,-32.53856232080491,0.0017541852145240716,0.028654583995837705,0.060269714051648826,-29.58450064345109
76,0.0007980919197719567,0.019567551504670273,0.04198235690658719,-32.54349560212413,0.0016077529860793857,0.02721060064003502,0.06171756647478479,-30.06652881856886
77,0.0007913305340174813,0.019488136405724475,0.041850792718167655,-32.57523475135296,0.0016882266397478293,0.02788647937735017,0.06306167434928618,-29.836715410434675
78,0.0007850760582314866,0.019427357688485244,0.041763065958491066,-32.59394263846794,0.0016799284863325118,0.02810229005262002,0.0602207149265637,-29.777958359616427
79,0.0007793238438308369,0.0193462426720376,0.04162543526522596,-32.628749628389414,0.0017832393876267365,0.029008032671207173,0.059125960029164516,-29.474786692709575
80,0.0007764112035974438,0.019336560934745464,0.0415830370254059,-32.63202271081889,0.0017763884246559116,0.028950852744453505,0.05939470720873407,-29.5338507834034
