Epoch,Train Loss (MSE),Train Loss (MAE),Train Loss (SSIM),Train Loss (PSNR),Validation Loss (MSE),Validation Loss (MAE),Validation Loss (SSIM),Validation Loss (PSNR)
1,0.0049129857674582314,0.047722385677883776,0.13769234069821099,-25.3007611821756,0.002803668913933478,0.03307087023852566,0.10614426708928477,-28.127900222166105
2,0.0031242148608845,0.036833633246324805,0.11010617082095588,-27.333582431539455,0.0024850254388878628,0.03076373177145539,0.0965676171728684,-28.81113935587867
3,0.002640891926213434,0.03342786449532765,0.09924379399974577,-28.165290288602773,0.0023398104591387118,0.029758298270423835,0.0906754959580995,-29.15362438529639
4,0.0023561682564191442,0.031369892579392655,0.09244261439909982,-28.72147801210992,0.002148733235086565,0.028566981917608657,0.08451387820366528,-29.538361912464087
5,0.0021623502841745905,0.02995191489416403,0.087893246785375,-29.12847150534294,0.0020755519941451197,0.028190984713166264,0.0820039127052896,-29.673165668632283
6,0.0020280740657748174,0.02896821571142294,0.0846398904968374,-29.422745380172813,0.0019619172768272552,0.02784448608998136,0.07940875683296626,-29.773595285893943
7,0.0019236442957717352,0.02817583238358651,0.0819566778099264,-29.671013962299508,0.001961800426318758,0.02799240927379684,0.07965090970934816,-29.748974121765855
8,0.0018394770793872708,0.027547005849058618,0.07985075782403561,-29.87293611566009,0.0018544949783095331,0.027090694583510527,0.07816996935201014,-30.047834440448426
9,0.001774065834713207,0.027005764706752942,0.07817323432753884,-30.04959095982975,0.0018361872405291409,0.027413263987234805,0.07912592036829107,-29.92397597654387
10,0.0017176761061026518,0.026541658199718272,0.07665266203516312,-30.20011523131326,0.0017984281021032834,0.026818416349433858,0.07813171221603746,-30.132353814678634
11,0.0016753045354490936,0.026205729282051813,0.07555062766293533,-30.310101175880224,0.0017834589383055159,0.027255487185161652,0.0785585128216051,-29.99246921697351
12,0.0016397576616152018,0.02587179743198347,0.07443579517248022,-30.422980052486242,0.0017886294070764283,0.027698184771327617,0.08299407481211427,-29.90477416466481
13,0.001606341142390132,0.025593332772629665,0.07352494200937361,-30.514246486967497,0.001757614447992044,0.027317182892000136,0.07940699294618889,-29.999061720058275
14,0.001572025981910081,0.025299526825384718,0.07265236420615809,-30.61388670984765,0.0017855711865737,0.02788019850013418,0.08381159810899284,-29.849051594890156
15,0.0015483169236674655,0.025104321026920687,0.07206363169681546,-30.68591008909136,0.0018436459522006721,0.028529494003718903,0.08704656032407539,-29.676283133898142
16,0.0015141903412394528,0.02480673615860315,0.07133644220613211,-30.78661894075483,0.001709459751356609,0.026596498186222808,0.07847737174235833,-30.254397787800325
17,0.0014875870967247537,0.02455634905214268,0.07067960645666299,-30.868855096573657,0.0017643778168102235,0.02804107001401416,0.08125977676298439,-29.759506640660934
18,0.0014668355182047722,0.024351671285878545,0.070058397599369,-30.940103124038213,0.001749677692933558,0.02757206278647196,0.08191126787761284,-29.944692916969935
19,0.0014379836054390725,0.024099166167751686,0.0694150264286553,-31.029160736067343,0.0017294599907675809,0.027222432876456606,0.07779792204622717,-30.01422192173861
20,0.0014156874105494368,0.023867135522978516,0.06884877391833906,-31.111406217510595,0.001760391160863323,0.027761325724276715,0.07979912150649592,-29.893041618204094
21,0.0013944333761086486,0.02365771423042178,0.06835695787240531,-31.185730776896005,0.0017691710674583895,0.027909044771769188,0.07738608893898966,-29.842786926189678
22,0.0013793990137699165,0.02355214129796205,0.06796710779128703,-31.217537402586693,0.0017499829879011495,0.027858098100495558,0.0787573007584866,-29.866686651709816
23,0.0013532325909570756,0.023265347398833788,0.06739048845375377,-31.322018960310043,0.0017545206078151106,0.027853734844485667,0.08348782188342328,-29.88622547038195
24,0.0013407808357513674,0.023170591041957605,0.06707252154823477,-31.357554604832973,0.0017770031368002706,0.028177296828902604,0.08251214360130234,-29.78178581357574
25,0.0013242366255976127,0.022999241879268783,0.06663023351712992,-31.42098416855707,0.0018089841752740763,0.02852015668380887,0.07998392972372216,-29.598973458477673
26,0.0013075033688661694,0.022852035679305004,0.06623343504242185,-31.472871868794982,0.001808110625986022,0.028622903815209474,0.07795179719442474,-29.557390338616553
27,0.0012945544406926669,0.02270123838876641,0.06584701345037088,-31.5310665675572,0.0017646907338082776,0.027863422467186885,0.0754021760734262,-29.785512431760672
28,0.0012778973610729062,0.02255266067899983,0.06543989368067443,-31.584794261853332,0.00171308036459473,0.027343585819161933,0.07359747953202804,-29.989975625232375
29,0.001267305564380585,0.022437713389470766,0.06524261678838159,-31.630143042453113,0.0016787505554649825,0.02711812231967504,0.07399710307098402,-30.06441014851746
30,0.0012506744496923853,0.022291239063614004,0.06483193636590548,-31.68339610832988,0.0016522544406304064,0.026687871580281426,0.07526495006476434,-30.227187695276566
31,0.0012329080526809937,0.02213342371117425,0.06449382063346705,-31.739481320063966,0.001624323428717937,0.02626651345569002,0.07610768817992279,-30.368521832192876
32,0.0012249985715483403,0.022040582709969097,0.06417276822233668,-31.776806206947583,0.0016684354477948065,0.026852114270678837,0.07972131807940318,-30.180756744005457
33,0.001211023292320297,0.02190765293981299,0.06385552652399569,-31.82981746303346,0.0016580303187785257,0.027113378109273122,0.07926106273582083,-30.06816737661183
34,0.0012013439126272742,0.021776761096722427,0.06354695420098799,-31.884780040978086,0.0017169241164186487,0.028000686180806686,0.07885751363444006,-29.79844117694893
35,0.001187117984517774,0.021661974549711954,0.06322983184193577,-31.926864256905624,0.0016704689407550778,0.02722985805952544,0.07685942063412705,-30.055181145616043
36,0.0011789932102225203,0.021571550253299324,0.06296519878906408,-31.95844505231019,0.0016411709025319636,0.026645185354799747,0.0775040147661175,-30.27246379062072
37,0.0011631650036888202,0.0214125719566341,0.06268476165887964,-32.02582795175367,0.001632483729422381,0.026890415763275312,0.07911482400058192,-30.15508700560858
38,0.0011495072127787312,0.02130744180661365,0.06234935986826698,-32.06249638269356,0.0016930111325165194,0.0277115209442407,0.07797930425709634,-29.901046704684497
39,0.0011396726012948978,0.021198151335059263,0.062133326232758315,-32.10665657912892,0.001618309214415607,0.02648743977416851,0.07294400649147682,-30.27259800458027
40,0.0011286330978650038,0.02109751000740406,0.061879867614290575,-32.14723931981277,0.0016099072402500337,0.02632773766473644,0.07574272329922696,-30.348765122438174
41,0.0011220671822511309,0.02102986669224751,0.06168063444815649,-32.17295700559959,0.0015875050937980283,0.026191111295810966,0.07499669308335928,-30.39899208844098
42,0.001111547256414418,0.020944708258405147,0.06144602803783562,-32.204857624058114,0.001593174191401066,0.02648685020311361,0.07536095765496881,-30.258544157438283
43,0.0011002367556744103,0.020818583820839873,0.061179308438899085,-32.25545657728855,0.0016426378024128302,0.02673483816797147,0.0737473871891955,-30.233946898801847
44,0.0010924351578265414,0.02075352115320974,0.06101678594248115,-32.279547733360964,0.0015943994024502234,0.02632264585290681,0.07447474025193127,-30.307659412023025
45,0.001082228358933751,0.02065020519082263,0.060774011069841705,-32.3229991873322,0.001583820986752372,0.02633196642444454,0.0741828492360504,-30.326306779364856
