Epoch,Train Loss (MSE),Train Loss (MAE),Train Loss (SSIM),Train Loss (PSNR),Validation Loss (MSE),Validation Loss (MAE),Validation Loss (SSIM),Validation Loss (PSNR)
1,0.029160732451157693,0.13101865422840303,0.26459988263937145,-17.349806553278214,0.013256127922198711,0.0825911630422641,0.1783491678726979,-20.487338163913826
2,0.02100893664651383,0.10639455907333356,0.2029469357087062,-19.169314586199246,0.009393665951509506,0.06635986144344012,0.153674215842516,-22.3472172663762
3,0.0189779509524576,0.09985735611273693,0.1912996619939804,-19.75321468940148,0.007527999609756546,0.05756398405020054,0.1440604344392434,-23.528397193321815
4,0.01760579498995167,0.09568098032226165,0.1833376639928573,-20.11839266312428,0.006635005988825399,0.05500974611212046,0.1378744152876047,-23.92492685562525
5,0.016586999356663093,0.09233256618086344,0.17698604059525025,-20.438285436385716,0.0059361006252658674,0.05116030592948963,0.12999963607543555,-24.48912586309971
6,0.01585056248288124,0.08991305007097813,0.17232671341834924,-20.657470990449955,0.0057986945492955735,0.05128565234824633,0.13081850761022323,-24.486704801901794
7,0.015267640557468463,0.0879418547026431,0.16817756226429573,-20.832867952493523,0.005464686074843392,0.049877714270200484,0.1269445633276915,-24.73095121139135
8,0.0147966140603575,0.0863415784895038,0.164699130715468,-20.97147820546077,0.0052974096182972575,0.04916503643378233,0.11535431635685456,-24.726733329968575
9,0.014459762940905655,0.0849789126107517,0.1629012005451398,-21.095580785702435,0.005095230239347961,0.048149794387893796,0.11107949721507537,-24.96614192082332
10,0.013997550818693036,0.08334031276022777,0.16014998157819113,-21.25603287647932,0.004969846537838189,0.04754386698970428,0.1138531214151627,-25.097023499317658
11,0.013480206116442926,0.08144636445034009,0.15706091087598067,-21.434351126352947,0.004891764775563318,0.04790988793739906,0.11520306727825066,-25.04085770631448
12,0.013081699059768699,0.07998112864935628,0.15443105766406426,-21.580738122646625,0.004811249586801307,0.04710267851941097,0.10853662093480428,-25.160565791985928
13,0.012816028113518722,0.07899827224751696,0.15239812892216903,-21.6669935691051,0.00476303411862598,0.04757737798186449,0.11622879291192079,-25.059999759380634
14,0.012417800520033313,0.0774738838752875,0.1497108451066873,-21.80532405926631,0.004688016753882552,0.04663416934319031,0.11961937256348439,-25.262162770980442
15,0.011985085853853095,0.07573621379784666,0.14743505303676313,-21.9803565465487,0.004562616616917344,0.04613037775151241,0.12022649783354539,-25.36969942924304
16,0.011834183974245276,0.0753409930695899,0.14629572744552904,-22.00616220938854,0.004605487135286706,0.04593743780293526,0.10516338164989765,-25.317346475063225
17,0.011556420653598765,0.07406595118869191,0.14432069659233093,-22.16378315289815,0.004251524671697273,0.04390681845446428,0.10872339896666698,-25.711529902922802
18,0.011298152139762608,0.07304362851218918,0.14265830318133035,-22.253237284146824,0.004510490095410018,0.044380612432574615,0.10912578992354564,-25.629833759405674
19,0.010997537576491969,0.0718544189316722,0.14018778923230293,-22.396431360489284,0.004402894959546244,0.04572240640528691,0.10988962955963917,-25.37793506720127
20,0.010927024489949243,0.07173092073450486,0.14072464673947066,-22.389103803879177,0.004234429248847449,0.043836355257110715,0.10225123319870387,-25.743187146309094
21,0.010667076685841983,0.07069139143165487,0.13845340334452116,-22.51061297685672,0.004251971160276578,0.04528652843183432,0.11353126091834827,-25.48916938977364
22,0.010491431975074543,0.06981164202667199,0.13710141105529589,-22.605660352951443,0.004120775573075009,0.04408037146696678,0.11149457173469739,-25.712859178200745
23,0.010269903344287274,0.06891964133590078,0.1357200848750579,-22.721915000524277,0.0041085250156286815,0.04431996618707975,0.11327886275756054,-25.692513490334534
24,0.010001186203086175,0.0678315558231985,0.1333237825295864,-22.843369783499302,0.0039007917840559133,0.04231650344072244,0.10903968260838436,-26.00271562429575
25,0.009853320253732352,0.06739853899209546,0.1323366444080304,-22.889071385065716,0.0038107985224670325,0.04128849797714979,0.09841379141196227,-26.20145054352589
26,0.009637734971385306,0.06635388309279314,0.13082480965516505,-23.0242322408236,0.003986083466607409,0.04196093283975736,0.1123352111914219,-26.101233213375775
27,0.00963171588209195,0.06622647550195837,0.13061914306420547,-23.02348613127684,0.003839307879575361,0.042585466152582414,0.11214532454808553,-25.98873945382925
