Epoch,Discriminator Loss,Generator Loss
1,1.3835093730535262,1.5190391869117053
2,1.3781260374264839,1.2979448731893148
3,1.363425810367633,1.3057189637269728
4,1.360061485797931,1.3276117321772454
5,1.363526803560746,1.2772559210275993
6,1.3757133713135352,1.2519101989574921
7,1.3736044894426296,1.2235464633275301
8,1.376523882914812,1.2127713771202626
9,1.3722719190976558,1.219258339741291
10,1.3729507334721394,1.2202345576041784
11,1.3712565348698542,1.1964268680566397
12,1.3720385432243347,1.1963663781300569
13,1.3731241722901661,1.18535980849694
14,1.3710958422758641,1.1833212345074384
15,1.364240580644363,1.2162714508863597
16,1.3651224680435963,1.2178357449861674
17,1.3393751409573433,1.2897390501621442
18,1.3440397515510902,1.2948937194469647
19,1.3480083033060417,1.251307828304095
20,1.3470455136818764,1.2779350062975516
21,1.322847185608668,1.2955335122652543
22,1.3271060188611348,1.3222959645283527
23,1.2697865443351941,1.4650913591568286
24,1.275445588888266,1.5064802299707363
25,1.277277280886968,1.4821787186158009
26,1.268343753539599,1.5041359930466383
27,1.298075719139515,1.4569978286058476
28,1.2615652833229456,1.4423899207359705
29,1.2698781062395146,1.4666165082882612
30,1.295413926243782,1.413989815192345
31,1.2691595970820158,1.4243942606143463
32,1.2697050877106495,1.439783750436245
33,1.2692286467705018,1.443981021642685
34,1.2700432986021042,1.4224298733931322
35,1.2626753036792462,1.4442043281518495
36,1.2326368914964871,1.4353073078852434
37,1.274877206637309,1.4742297293284001
38,1.267044295485203,1.4483201606915548
39,1.2536527055960436,1.4254090717205634
40,1.281012332210174,1.4508218994507422
41,1.276134627751815,1.4348566417510693
42,1.2555746944286885,1.387099849107938
43,1.2643720786540935,1.402502918854738
44,1.2761073444898312,1.3924299738346002
45,1.2642841751758869,1.367196845702636
46,1.2506827555405788,1.4201696744331946
47,1.2613156277399797,1.3931464522312849
48,1.2688356114503665,1.3951681137849123
49,1.264999317817199,1.3492052463384776
50,1.2593683489622214,1.3852830422230256
51,1.288458792062906,1.3518796517298772
52,1.2633195190857618,1.3542812978610015
53,1.2654364632490354,1.3772783814332423
54,1.2673391974889314,1.3979654594873772
55,1.276408919921288,1.3484635933851585
56,1.2718042666331315,1.3130251570389821
57,1.2813879419595768,1.329857043730907
58,1.2648753340427692,1.3351379655874693
59,1.2810567861948259,1.3167889152581875
60,1.2772375692923863,1.316182752068226
61,1.2753049964324021,1.3085761750355744
62,1.2769978642463684,1.2950380876278267
63,1.291129354100961,1.3025957101430647
64,1.2718231597772012,1.2964429205808885
65,1.2810157923362193,1.3076694707075756
66,1.2806412325455592,1.3064829183694644
67,1.277385481657126,1.313069341274408
68,1.28562992085249,1.296103040377299
69,1.2835993476403065,1.2706353274675517
70,1.2901283823526823,1.2632764956125846
71,1.282436681481508,1.258824680860226
72,1.2877941861366615,1.2842289067995853
73,1.2909182294821129,1.2555883855391772
74,1.2917947123448055,1.258176869306809
75,1.3063309983565257,1.2516683554038024
76,1.279374660589756,1.2688846232799382
77,1.2908474103762553,1.3033034954315577
78,1.290280045607151,1.2692619753189576
79,1.0985760300969467,1.9579618615217698
80,1.0692725475782003,1.9481877417136462
81,1.0515406586420841,1.98993838368318
82,1.0825667866529562,1.7738838673402102
83,1.0712074564817624,1.761880058508653
84,1.0691984032209103,1.7577102803266966
85,1.0539779277184071,1.8185837054863954
86,1.0510234469786668,1.841595132381488
87,1.0617406612787492,1.824747519615369
88,1.0444585230105963,1.7942656897581541
89,1.1106048950400107,1.8791239101153154
90,1.0228017343160434,1.773529045856916
91,1.0104134613886857,1.9490214295876331
92,0.981818961027341,1.9875273077915876
93,0.9911723249615767,2.0120507127199416
94,1.006243646144867,1.998938391606013
95,0.9821150167248188,2.0061289163736196
96,1.019756097633105,1.9902670192412841
97,0.9257055973777404,2.1184107332657547
98,0.9869406998921664,2.0786082790448117
99,0.9509706374926444,2.1670674284299216
100,0.873839927598452,2.2673365748845615
